movie_title,movie_imdb_link,title_year,color,genres,plot_keywords,duration,language,country,content_rating,num_critic_for_reviews,num_user_for_reviews,director_name,imdb_score,budget,gross,movie_facebook_likes,director_facebook_likes,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,facenumber_in_poster,aspect_ratio
Central IntelligenceÂ ,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,2016,Color,Action|Comedy|Crime,accountant|blooper|espionage|facebook|high school reunion,107,English,USA,PG-13,177,110,Rawson Marshall Thurber,6.6,50000000,126088877,10000,43,Dwayne Johnson,Thomas Kretschmann,Megan Park,12000,919,569,14569,33354,2,2.35
CenturionÂ ,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,2010,Color,Action|Adventure|Drama|History|Thriller|War,mushroom|mute|roman soldier|screaming|wood carving,97,English,UK,R,195,201,Neil Marshall,6.4,,122288,0,197,Michael Fassbender,JJ Feild,Dave Legeno,13000,794,570,15293,64777,0,2.35
Chain of CommandÂ ,http://www.imdb.com/title/tt4340720/?ref_=fn_tt_tt_1,2015,Color,Action|Thriller,army|michael jai white|ohio|steve austin,88,English,USA,R,11,14,Kevin Carraway,3.5,5000000,,358,2,Michael Jai White,Max Ryan,Jon Osbeck,2000,872,6,2886,801,3,1.33
ChappieÂ ,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,2015,Color,Action|Crime|Drama|Sci-Fi|Thriller,artificial intelligence|consciousness|future|mind uploading|robot,120,English,USA,R,371,627,Neill Blomkamp,6.9,49000000,31569268,67000,662,Hugh Jackman,Sharlto Copley,Jose Pablo Cantillo,20000,2000,502,23051,172965,0,2.35
Charlie St. CloudÂ ,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,2010,Color,Drama|Fantasy|Romance,brother brother relationship|death of brother|ghost|seeing dead people|talking with the dead,99,English,USA,PG-13,117,75,Burr Steers,6.5,44000000,31136950,0,23,Augustus Prew,Charlie Tahan,Valerie Tian,405,268,135,1066,47364,1,2.35
Chasing MavericksÂ ,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,2012,Color,Biography|Drama|Sport,box office flop|no opening credits|surfing|two word title|year 1987,116,English,USA,PG,116,75,Michael Apted,7.2,20000000,6002756,13000,150,Gerard Butler,Abigail Spencer,Leven Rambin,18000,1000,956,21200,24997,2,1.85
Cheap ThrillsÂ ,http://www.imdb.com/title/tt2389182/?ref_=fn_tt_tt_1,2013,Color,Comedy|Crime|Drama|Horror|Thriller,cocaine|extramarital affair|sex|shooting|violence,88,English,USA,Not Rated,193,52,E.L. Katz,6.8,200000,59379,0,3,Brighton Sharbino,Ethan Embry,Elissa Dowling,3000,982,307,4729,12796,3,2.35
CheckmateÂ ,http://www.imdb.com/title/tt3781616/?ref_=fn_tt_tt_1,2015,Color,Action|Crime|Thriller,,97,English,USA,,6,18,Timothy Woodward Jr.,3.1,1500000,,402,764,Katrina Law,Johnny Messner,Michael ParÃ©,835,522,492,2882,735,3,2.35
Chernobyl DiariesÂ ,http://www.imdb.com/title/tt1991245/?ref_=fn_tt_tt_1,2012,Color,Horror|Mystery|Sci-Fi|Thriller,abandoned building|chernobyl disaster|exploration|tour guide|van,86,English,USA,R,270,271,Bradley Parker,5,1000000,18112929,24000,18,Jesse McCartney,Ingrid BolsÃ¸ Berdal,Jonathan Sadowski,1000,466,300,2665,52642,0,1.85
Chiamatemi Francesco - Il Papa della genteÂ ,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,2015,Color,Biography,,98,Spanish,Italy,,4,4,Daniele Luchetti,5.7,15000000,,18,6,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,61,57,50,192,80,0,
Child 44Â ,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,2015,Color,Crime|Drama|Thriller,child murderer|murder|sex|soviet union|woman slaps a man,137,English,Czech Republic,R,172,185,Daniel Espinosa,6.4,50000000,1206135,18000,79,Tom Hardy,Fares Fares,Michael Nardone,27000,254,194,27666,40568,3,2.35
Christmas EveÂ ,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,2015,Color,Comedy,,95,English,USA,PG,6,15,Mitch Davis,5.1,,,0,7,Gary Cole,Jon Heder,Cheryl Hines,989,970,541,3514,1091,7,
Christmas MailÂ ,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,2010,Color,Comedy|Drama|Family|Romance,boss|holiday|letter|north pole|santa,89,English,USA,TV-PG,2,7,John Murlowski,5.8,2500000,,190,20,Ashley Scott,Piper Mackenzie Harris,Lochlyn Munro,794,607,555,2579,858,2,
ChronicleÂ ,http://www.imdb.com/title/tt1706593/?ref_=fn_tt_tt_1,2012,Color,Drama|Sci-Fi|Thriller,found footage|high school|subjective camera|teen angst|troubled teen,89,English,USA,PG-13,414,471,Josh Trank,7.1,12000000,64572496,32000,128,Michael Kelly,Alex Russell,Ashley Hinshaw,963,465,371,2054,204327,0,1.85
"Cinco de Mayo, La BatallaÂ ",http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,2013,Color,Drama|History|War,,125,Spanish,Mexico,R,12,3,Rafa Lara,6.2,10000000,169379,874,21,Jorge Luis Moreno,AndrÃ©s Montiel,William Miller,78,61,36,221,683,1,
CinderellaÂ ,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,2015,Color,Drama|Family|Fantasy|Romance,dress|duke|fairy godmother|fairy tale|pumpkin,105,English,USA,PG,343,322,Kenneth Branagh,7,95000000,201148159,56000,0,Hayley Atwell,Derek Jacobi,Lily James,2000,520,502,4671,103737,1,2.35
CinderellaÂ ,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,2015,Color,Drama|Family|Fantasy|Romance,dress|duke|fairy godmother|fairy tale|pumpkin,105,English,USA,PG,343,323,Kenneth Branagh,7,95000000,201148159,56000,0,Hayley Atwell,Derek Jacobi,Lily James,2000,520,502,4671,103749,1,2.35
CircleÂ ,http://www.imdb.com/title/tt3118452/?ref_=fn_tt_tt_1,2015,Color,Drama|Horror|Mystery|Sci-Fi|Thriller,alien abduction|debate|lesbian|pregnant|spaceship,87,English,USA,Not Rated,29,59,Aaron Hann,6,,,0,0,Jordi Vilasuso,Michael McLafferty,Kaiwi Lyman-Mersereau,160,152,94,776,13279,0,
CircumstanceÂ ,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,2011,Color,Drama,closeted lesbian|iranian|islamophobia|propaganda|teenager,107,Persian,France,R,76,43,Maryam Keshavarz,5.9,,439958,0,32,Sarah Kazemy,Reza Sixo Safai,Sina Amedson,144,127,127,509,6277,1,2.35
Cirque du Soleil: Worlds AwayÂ ,http://www.imdb.com/title/tt1792647/?ref_=fn_tt_tt_1,2012,Color,Fantasy,aerialist|circus|cirque du soleil|clown|surrealism,91,English,USA,PG,73,35,Andrew Adamson,6.8,,12495865,0,80,Dallas Barnett,Erica Linz,Igor Zaripov,473,31,31,539,7100,0,
Clash of the TitansÂ ,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,2010,Color,Action|Adventure|Fantasy,famous line|hand to hand combat|kraken|rape|zeus,106,English,USA,PG-13,344,637,Louis Leterrier,5.8,125000000,163192114,15000,255,Liam Neeson,Jason Flemyng,Alexa Davalos,14000,1000,850,18003,229679,0,2.35
Clash of the TitansÂ ,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,2010,Color,Action|Adventure|Fantasy,famous line|hand to hand combat|kraken|rape|zeus,106,English,USA,PG-13,344,637,Louis Leterrier,5.8,125000000,163192114,15000,255,Liam Neeson,Jason Flemyng,Alexa Davalos,14000,1000,850,18003,229687,0,2.35
Close RangeÂ ,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,2015,Color,Action|Crime,corrupt sheriff|drug cartel|flash drive|niece|sheriff,80,English,USA,,28,31,Isaac Florentine,4.9,3000000,,968,81,Anthony L. Fernandez,Nick Chinlund,Scott Evans,640,277,214,1517,2425,1,
Closer to the MoonÂ ,http://www.imdb.com/title/tt2017486/?ref_=fn_tt_tt_1,2014,Color,Comedy|Drama,,112,English,Romania,Not Rated,18,13,Nae Caranfil,7.1,5000000,,0,34,Monica Barladeanu,Joe Armstrong,Martin Hancock,129,98,71,588,2841,2,2.35
Cloud AtlasÂ ,http://www.imdb.com/title/tt1371111/?ref_=fn_tt_tt_1,2012,Color,Drama|Sci-Fi,composer|future|letter|nonlinear timeline|nursing home,172,English,Germany,R,511,828,Tom Tykwer,7.5,102000000,27098580,124000,670,Tom Hanks,Jim Sturgess,Jim Broadbent,15000,5000,1000,22686,284825,5,2.35
Cloudy with a Chance of Meatballs 2Â ,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,2013,Color,Animation|Comedy|Family|Fantasy|Sci-Fi,food|inventor|island|orangutan|scientist,95,English,USA,PG,169,85,Cody Cameron,6.5,78000000,119793567,15000,18,Will Forte,Khamani Griffin,Melissa Sturm,622,161,18,848,64387,0,2.35
Code of HonorÂ ,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,2016,Color,Action,gun|mayor|nightclub|police|vigilantism,106,English,USA,R,15,14,Michael Winnick,4.2,8000000,,689,155,Scott Takeda,Helena Mattsson,Craig Sheffer,981,505,391,2741,662,0,
Coffee TownÂ ,http://www.imdb.com/title/tt2234025/?ref_=fn_tt_tt_1,2013,Color,Comedy,barista|coffee|coffee shop|fight|insult,87,English,USA,,9,19,Brad Copeland,6.6,2000000,,0,8,Sunil Narkar,Ben Schwartz,Glenn Howerton,34000,463,424,35796,4204,3,2.35
ColombianaÂ ,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,2011,Color,Action|Crime|Drama|Thriller,female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt,112,English,France,PG-13,201,203,Olivier Megaton,6.4,40000000,36665854,15000,118,Jordi MollÃ ,Callum Blue,Jesse Borrego,877,738,674,3432,76498,0,2.35
Coming HomeÂ ,http://www.imdb.com/title/tt3125472/?ref_=fn_tt_tt_1,2014,Color,Drama,amnesia|cultural revolution|husband wife relationship|memory|political prisoner,109,Mandarin,China,PG-13,85,20,Yimou Zhang,7.3,,377420,0,611,Li Gong,Daoming Chen,Ni Yan,878,10,4,900,2789,1,2.35
CompadresÂ ,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,2016,Color,Action|Comedy,,101,English,Mexico,R,5,8,Enrique Begne,5,3000000,3105269,174,0,Kevin Pollak,HÃ©ctor JimÃ©nez,Erick Elias,574,327,165,1335,368,2,
ComplianceÂ ,http://www.imdb.com/title/tt1971352/?ref_=fn_tt_tt_1,2012,Color,Biography|Crime|Drama|Thriller,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,90,English,USA,R,286,175,Craig Zobel,6.4,270000,318622,0,25,Dreama Walker,Matt Servitto,James McCaffrey,601,260,235,1734,24668,0,2.35
ConcussionÂ ,http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1,2015,Color,Biography|Drama|Sport,chronic traumatic encephalopathy|concussion|football|football player|pathologist,123,English,UK,PG-13,219,138,Peter Landesman,7.1,35000000,34531832,23000,15,Will Smith,Eddie Marsan,Albert Brooks,10000,979,745,13371,44788,0,2.35
ConstantineÂ             ,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,,Color,Drama|Fantasy|Horror|Thriller,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,43,English,USA,TV-14,12,94,,7.5,,,10000,,Harold Perrineau,Matt Ryan,Charles Halford,1000,560,218,1990,36919,1,16
ContagionÂ ,http://www.imdb.com/title/tt1598778/?ref_=fn_tt_tt_1,2011,Color,Drama|Thriller,contagion|cure|infection|panic|virus,106,English,USA,PG-13,436,411,Steven Soderbergh,6.6,60000000,75638743,42000,0,Matt Damon,Monique Gabriela Curnen,Griffin Kane,13000,240,175,13634,180479,4,1.85
ContainmentÂ ,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,2015,Color,Horror|Sci-Fi|Thriller,hazmat suit,77,English,UK,,33,21,Neil Mcenery-West,4.8,,,275,0,Walter Hendrix III,Michael Chapman,Louise Brealey,846,366,260,2044,1355,0,
ContrabandÂ ,http://www.imdb.com/title/tt1524137/?ref_=fn_tt_tt_1,2012,Color,Action|Crime|Drama|Thriller,cocaine|contraband|drug lord|prison|smuggling,109,English,USA,R,270,161,Baltasar KormÃ¡kur,6.5,25000000,66489425,0,175,J.K. Simmons,David O'Hara,Lukas Haas,24000,736,733,26625,101977,3,2.35
Cop OutÂ ,http://www.imdb.com/title/tt1385867/?ref_=fn_tt_tt_1,2010,Color,Action|Comedy|Crime,baseball card|detective|partner|thief|wedding,107,English,USA,R,203,176,Kevin Smith,5.6,37000000,44867349,0,0,Bruce Willis,Tracy Morgan,Kevin Pollak,13000,642,574,14483,75347,2,2.35
CoriolanusÂ ,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,2011,Color,Drama|Thriller|War,modern day adaptation|reference to william shakespeare|shakespeare in modern dress|shakespeare play|shakespeare's coriolanus,123,English,UK,R,196,118,Ralph Fiennes,6.2,,756452,12000,0,Gerard Butler,Ashraf Barhom,Lubna Azabal,18000,451,131,18652,27009,0,2.35
CountingÂ ,http://www.imdb.com/title/tt4462082/?ref_=fn_tt_tt_1,2015,Color,Documentary,city|city symphony|diary|essay|surveillance,111,English,USA,,12,1,Jem Cohen,6,50000,,5,6,,,,,,,0,61,0,1.78
Country StrongÂ ,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,2010,Color,Drama|Music,country music|panties|pink panties|relapse|songwriter,117,English,Official site,PG-13,135,114,Shana Feste,6.3,15000000,20218921,0,19,Leighton Meester,Cinda McCain,Tim McGraw,3000,646,461,4204,14814,4,2.35
CourageÂ ,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,2015,Color,Biography|Drama|Sport,coach|football|football movie|football team|high school sweethearts,118,English,USA,PG,27,20,Angelo Pizzo,7,20000000,2246000,0,14,Donny Boaz,Finn Wittrock,Brent Anderson,2000,769,400,3384,2302,4,2.35
CourageousÂ ,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,2011,Color,Drama,faith|fatherhood|integrity|police|responsibility,129,English,USA,PG-13,34,175,Alex Kendrick,7,2000000,34522221,10000,589,Ben Davies,Alex Kendrick,T.C. Stallings,690,589,341,2300,15401,7,2.35
"Crazy, Stupid, Love.Â ",http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,2011,Color,Comedy|Drama|Romance,bar|divorce|friend|girl|male objectification,118,English,USA,PG-13,310,292,Glenn Ficarra,7.4,50000000,84244877,44000,43,Ryan Gosling,Emma Stone,Steve Carell,33000,15000,7000,57426,375456,7,2.39
Creative ControlÂ ,http://www.imdb.com/title/tt3277624/?ref_=fn_tt_tt_1,2015,Color,Drama|Sci-Fi,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,97,English,USA,R,36,7,Benjamin Dickinson,5.5,1000000,62480,793,4,Nora Zehetner,Alexia Rasmussen,Meredith Hagner,446,171,150,928,1048,1,2.39
CreatureÂ             ,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,,Color,Horror|Sci-Fi|Thriller,author cameo|family relationships|island|monster|two part tv movie,173,English,USA,,10,33,,5,,,518,,Craig T. Nelson,Colm Feore,Megalyn Echikunwoke,723,539,476,3149,2011,3,1.78
CreedÂ ,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,2015,Color,Drama|Sport,boxing|boxing match|fight|montage|philadelphia,133,English,USA,PG-13,437,362,Ryan Coogler,7.7,35000000,109712885,70000,0,Sylvester Stallone,Phylicia Rashad,Graham McTavish,13000,597,531,15106,146708,1,2.35
Criminal ActivitiesÂ ,http://www.imdb.com/title/tt3687310/?ref_=fn_tt_tt_1,2015,Color,Crime|Drama|Thriller,african american gangster|falling to death|in over one's head|murder|surveillance,94,English,USA,,46,38,Jackie Earle Haley,5.8,7000000,,0,0,Rex Baker,Edi Gathegi,Travis Aaron Wade,15000,725,493,17377,5255,3,2.35
CriminalÂ ,http://www.imdb.com/title/tt3014866/?ref_=fn_tt_tt_1,2016,Color,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,cia|husband wife relationship|memory|tied up while barefoot|violence,113,English,UK,R,130,100,Ariel Vromen,6.3,31500000,14268533,0,34,Gary Oldman,Jordi MollÃ ,Doug Cockle,10000,877,24,10910,17319,2,2.35
CrowsnestÂ ,http://www.imdb.com/title/tt2180333/?ref_=fn_tt_tt_1,2012,Color,Action|Horror|Mystery|Thriller,forest|found footage|lost|murder|road trip,84,English,Canada,R,22,51,Brenton Spencer,3.8,1200000,,238,0,Christie Burke,Victor Zinck Jr.,Chelsey Reist,380,91,63,630,1321,0,
CyrusÂ ,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,2010,Color,Comedy|Drama|Romance,21 year old|forename as title|musician|party|rearview mirror,91,English,USA,R,223,126,Jay Duplass,6.3,7000000,7455447,0,157,Matt Walsh,Tim Guinee,Katie Aselton,490,259,224,1136,29967,2,1.85
Da Sweet Blood of JesusÂ ,http://www.imdb.com/title/tt3104930/?ref_=fn_tt_tt_1,2014,Color,Comedy|Romance|Thriller,horror movie remake|remake|undead|undead sex|undead sexuality,123,English,USA,,46,9,Spike Lee,4.1,1420000,,447,0,Rami Malek,Elvis Nolasco,Felicia Pearson,3000,372,161,4040,794,0,2.35
Daddy's HomeÂ ,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,2015,Color,Comedy|Family,biological father|dad|drinking|product placement|wilhelm scream,96,English,USA,PG-13,145,130,Sean Anders,6.1,50000000,150315155,13000,51,Will Ferrell,Linda Cardellini,Mark L. Young,8000,2000,322,10886,54010,2,1.85
Dallas Buyers ClubÂ ,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,2013,Color,Biography|Drama,drugs|fda|gay community|hiv|homophobia,117,English,USA,R,471,340,Jean-Marc VallÃ©e,8,5000000,27296514,65000,212,Matthew McConaughey,Jennifer Garner,Denis O'Hare,11000,3000,896,17738,326494,0,2.35
Damsels in DistressÂ ,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,2011,Color,Comedy|Drama|Romance,college|college campus|dance craze|depression|fraternity,99,English,USA,PG-13,152,54,Whit Stillman,5.7,,1007535,0,89,Greta Gerwig,Megalyn Echikunwoke,Zach Woods,962,476,322,2452,7625,5,1.85
Dancin' It's OnÂ ,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,2015,Color,Family|Musical,,89,English,USA,PG,3,7,David Winters,2.8,12000000,,634,49,Gary Daniels,Matt Marr,Ginger Jensen,551,85,84,895,105,6,
Danny CollinsÂ ,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,2015,Color,Comedy|Drama|Music,entertainer|inspiration|lost opportunity|pregnant mother|rock star,106,English,USA,R,139,100,Dan Fogelman,7.1,10000000,5348317,0,102,Al Pacino,Jennifer Garner,Melissa Benoist,14000,3000,970,18712,20810,0,
DaredevilÂ             ,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,corruption|lawyer|partnership|superhero|vigilante,54,English,USA,TV-MA,95,394,,8.8,,,55000,,Elden Henson,Royce Johnson,Charlie Cox,577,4,0,581,213483,0,16
Dark AngelÂ             ,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,,Color,Action|Drama|Mystery|Sci-Fi,cat burglar|female lead|future|mixed martial arts|post apocalypse,60,English,USA,TV-14,11,160,,7.4,,,0,,Jensen Ackles,Ashley Scott,John Savage,10000,794,652,12051,25329,1,1.33
Dark ShadowsÂ ,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,2012,Color,Comedy|Fantasy|Horror,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,113,English,USA,PG-13,526,479,Tim Burton,6.2,100000000,79711678,82000,13000,Johnny Depp,ChloÃ« Grace Moretz,Christopher Lee,40000,17000,16000,80849,199039,7,1.85
Darling CompanionÂ ,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,2012,Color,Comedy|Drama|Romance,dog|marriage|search|wedding|woods,103,English,USA,PG-13,57,25,Lawrence Kasdan,5.1,,793352,0,759,Dianne Wiest,Mark Duplass,Sam Shepard,967,830,820,3878,2551,1,2.35
Date NightÂ ,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,2010,Color,Comedy|Crime|Romance|Thriller,city|new york city|night|reservation|restaurant,101,English,USA,PG-13,247,207,Shawn Levy,6.3,55000000,98711404,0,189,Mila Kunis,James Franco,Steve Carell,15000,11000,7000,39822,127571,2,2.35
Dawn of the Crescent MoonÂ ,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2014,Color,Drama|Sci-Fi|Thriller,,95,English,USA,,3,2,Kirk Loudon,5,75000,,87,0,Barry Corbin,Johnny Walter,Shiree Nelson,883,507,279,2618,34,0,
Dawn of the Planet of the ApesÂ ,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,2014,Color,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,130,English,USA,PG-13,521,620,Matt Reeves,7.6,170000000,208543795,45000,198,Gary Oldman,Judy Greer,Kodi Smit-McPhee,10000,2000,884,14363,317542,0,1.85
Dawn PatrolÂ ,http://www.imdb.com/title/tt2073661/?ref_=fn_tt_tt_1,2014,Color,Drama|Thriller,desert|held at gunpoint|marine|revenge|sex on table,88,English,,,9,13,Daniel Petrie Jr.,4.8,3500000,,570,19,Chris Brochu,Jeff Fahey,Rita Wilson,795,535,322,2497,455,0,2.35
Day OneÂ ,http://www.imdb.com/title/tt1850418/?ref_=fn_tt_tt_1,2012,Color,Biography|Drama|Music,character name in title|depression|drugs|one word title,102,English,USA,PG-13,17,13,Nathan Frankowski,6.6,3400000,,0,19,Corbin Bleu,Rus Blackwell,Luis Antonio,632,144,80,1011,2116,7,
Dead Man DownÂ ,http://www.imdb.com/title/tt2101341/?ref_=fn_tt_tt_1,2013,Color,Action|Crime|Drama|Thriller,crime lord|dead body|dead body in a freezer|new york city|truck explosion,118,English,USA,R,217,127,Niels Arden Oplev,6.5,30000000,10880926,0,76,Dominic Cooper,Isabelle Huppert,James Biberi,3000,678,174,4253,54147,2,2.35
DeadfallÂ ,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,2012,Color,Crime|Drama|Thriller,police officer|police officer killed|police officer shot|sex scene,95,English,USA,R,162,86,Stefan Ruzowitzky,6.3,12000000,65804,0,24,Charlie Hunnam,Olivia Wilde,Sissy Spacek,16000,10000,874,27575,32512,1,2.35
Deadline GallipoliÂ             ,http://www.imdb.com/title/tt3458030/?ref_=fn_tt_tt_1,,Color,Drama|War,gallipoli|tv mini series|world war one,197,English,Australia,,,1,,7.4,15000000,,367,,Rachel Griffiths,Jessica De Gouw,Luke Ford,578,476,110,1400,299,0,
DeadpoolÂ ,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1,2016,Color,Action|Adventure|Comedy|Romance|Sci-Fi,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,108,English,USA,R,579,1058,Tim Miller,8.1,58000000,363024263,117000,84,Ryan Reynolds,Ed Skrein,Stefan Kapicic,16000,805,361,18239,479047,0,2.35
Dear JohnÂ ,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,2010,,Drama|Romance|War,army|coin collector|love|surfboard|u.s. army,108,English,USA,PG-13,162,186,Lasse HallstrÃ¶m,6.3,25000000,80014842,14000,529,Channing Tatum,Henry Thomas,Scott Porter,17000,861,690,19945,104356,,2.35
Death CallsÂ ,http://www.imdb.com/title/tt1328873/?ref_=fn_tt_tt_1,2010,Color,Action|Adventure|Mystery|Romance|Thriller,murder|oppression|rebirth|reincarnation|revenge,90,English,USA,R,,,Ken Del Conte,4.3,290000,,16,2,Hector Echavarria,Robert Miano,Ron RoggÃ©,466,216,99,842,30,2,1.85
Deceptive Practice: The Mysteries and Mentors of Ricky JayÂ ,http://www.imdb.com/title/tt2654360/?ref_=fn_tt_tt_1,2012,Color,Documentary,stage magician,88,English,USA,,39,7,Molly Bernstein,7.1,500000,151389,590,0,David Mamet,Ricky Jay,Dick Cavett,342,79,49,483,774,0,
DefianceÂ             ,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,,Color,Action|Drama|Sci-Fi,alien|alien invasion|planet invasion|post apocalypse|year 2046,43,English,USA,TV-MA,28,149,,7,,,0,,Julie Benz,Tony Curran,Grant Bowler,3000,845,600,5381,33535,3,1.78
DekalogÂ             ,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,,Color,Drama,meaning of life|moral challenge|morality|search for meaning|ten commandments,55,Polish,Poland,TV-MA,53,37,,9.1,,447093,0,,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,20,3,2,25,12590,0,1.33
DekalogÂ             ,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,,Color,Drama,meaning of life|moral challenge|morality|search for meaning|ten commandments,55,Polish,Poland,TV-MA,53,37,,9.1,,447093,0,,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,20,3,2,25,12591,0,1.33
Del 1 - MÃ¤n som hatar kvinnorÂ             ,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,,Color,Action|Crime|Mystery|Thriller,,88,Swedish,Sweden,,,,Niels Arden Oplev,8.1,,,22,76,Michael Nyqvist,David Dencik,Lena Endre,690,94,75,998,335,0,
Deliver Us from EvilÂ ,http://www.imdb.com/title/tt2377322/?ref_=fn_tt_tt_1,2014,Color,Horror|Mystery|Thriller,confession|demonic possession|exorcism|flickering light|priest,118,English,USA,R,242,201,Scott Derrickson,6.2,30000000,30523568,18000,301,Olivia Munn,Dorian Missick,Edgar RamÃ­rez,2000,1000,897,5697,54447,0,2.35
Delivery ManÂ ,http://www.imdb.com/title/tt2387559/?ref_=fn_tt_tt_1,2013,Color,Comedy|Drama,children|identity|lawsuit|lawyer|sperm donor,105,English,USA,PG-13,168,95,Ken Scott,6.4,26000000,30659817,0,31,Jack Reynor,Bobby Moynihan,Matthew Daddario,390,311,110,1006,59805,10,2.35
DemonicÂ ,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,2015,Color,Horror|Thriller,death|detective|house|missing|supernatural,83,English,USA,R,58,39,Will Canon,5.3,3000000,,0,8,Frank Grillo,Scott Mechlowicz,Aaron Yoo,798,634,617,4756,7358,1,
DepartureÂ ,http://www.imdb.com/title/tt2248739/?ref_=fn_tt_tt_1,2015,Color,Drama|Family|Romance,france|gay|language|male masturbation|masturbation,109,English,UK,,29,5,Andrew Steggall,7,1100000,,75,0,Juliet Stevenson,Alex Lawther,Niamh Cusack,202,47,30,283,162,0,1.85
Desert DancerÂ ,http://www.imdb.com/title/tt2403393/?ref_=fn_tt_tt_1,2014,Color,Biography|Drama,dance|dancer|dancing|desert|iran,104,English,UK,PG-13,31,10,Richard Raymond,6,4000000,143653,0,10,Tom Cullen,Reece Ritchie,Marama Corlett,507,236,196,1281,1177,0,2.35
Despicable Me 2Â ,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,2013,Color,Animation|Comedy|Family|Sci-Fi,dating|minion|overprotective father|undercover spy|woman agent,98,English,USA,PG,306,284,Pierre Coffin,7.5,76000000,368049635,56000,275,Steve Carell,Miranda Cosgrove,Steve Coogan,7000,2000,1000,11905,286877,0,1.85
